File Name,Field_EGNO,EGNO,EGLetter,Local_Time,Day,Month,Year,Latitude,Longitude,Area,Obs,Platform,Image_Type,Assoc_Type,Behaviors,Notes,Photographer,Intermatch_Code,Name,Permit_No,CCS_No,NonEg
104_7369.JPG,3832,,A,1034,16,8,2021,41.03244,-70.01567,SNE,CCS/A,A,DS,5,WH CHN,IMAGE METADATA ONE MONTH EARLY,BEM,,,19315-01,932,
104_7370.JPG,3832,,A,1034,16,8,2021,41.03244,-70.01567,SNE,CCS/A,A,DS,5,WH CHN,IMAGE METADATA ONE MONTH EARLY,BEM,,,19315-01,932,
104_7371.JPG,4095,,B,1034,16,8,2021,41.03244,-70.01567,SNE,CCS/A,A,DS,5,MOPN,IMAGE METADATA ONE MONTH EARLY,BEM,,,19315-01,932,
104_7372.JPG,4095,,B,1034,16,8,2021,41.03244,-70.01567,SNE,CCS/A,A,DS,5,MOPN,IMAGE METADATA ONE MONTH EARLY,BEM,,,19315-01,932,
104_7373.JPG,4593,,C,1034,16,8,2021,41.03244,-70.01567,SNE,CCS/A,A,DS,5,,IMAGE METADATA ONE MONTH EARLY,BEM,,,19315-01,932,
104_7374.JPG,4593,,C,1034,16,8,2021,41.03244,-70.01567,SNE,CCS/A,A,DS,5,,IMAGE METADATA ONE MONTH EARLY,BEM,,,19315-01,932,
104_7375.JPG,4070,,D,1034,16,8,2021,41.03244,-70.01567,SNE,CCS/A,A,DS,5,,IMAGE METADATA ONE MONTH EARLY,BEM,,,19315-01,932,
104_7376.JPG,4070,,D,1034,16,8,2021,41.03244,-70.01567,SNE,CCS/A,A,DS,5,,IMAGE METADATA ONE MONTH EARLY,BEM,,,19315-01,932,
104_7377.JPG,4070,,D,1034,16,8,2021,41.03244,-70.01567,SNE,CCS/A,A,DS,5,,IMAGE METADATA ONE MONTH EARLY,BEM,,,19315-01,932,
104_7378.JPG,4070,,D,1034,16,8,2021,41.03244,-70.01567,SNE,CCS/A,A,DS,5,,IMAGE METADATA ONE MONTH EARLY,BEM,,,19315-01,932,
